group_id,group_name
83,"Apparel, Merchandising, and Design Graduate Student Association"
84,Aquatic Animal Medicine Club
85,Archery Club
86,Areopagus Student Fellowship
87,Army ROTC
88,Arnold Air Society
89,Arnquist House (Willow)
90,Asexual Aromantic Alliance
91,Asian Student Union
92,Associated General Contractors of America- Student Chapter
93,Association for Women in Mathematics
94,"Association of Avian Veterinarians, Student Chapter (""Avian Club"")"
95,Association of Graduate Animal Scientists
96,Association of Reptilian and Amphibian Veterinarians Student Chapter
97,Association of Shelter Veterinarians - Student Chapter
98,Atheist and Agnostic Society
99,Automotive Enthusiasts
100,Ayres House (Welch)
101,Bacon Expo
102,Badminton Club
103,Ballroom Dance Club
104,Bangladesh Student Association
105,Barker House (Lyon)
106,Baseball Club
107,Basketball Club (Men)
108,Basketball Club (Women)
109,Bates House (Willow)
110,Be The Match On Campus
111,Bean House (Geoffroy)
112,Bed of Bags
113,Beginning Farmers Network
114,Bennett House (Friley Hall)
115,Bergman House (Welch)
116,Berry House (Geoffroy)
117,Best Buddies
118,Beta Alpha Psi
119,Beta Beta Beta
120,Beta Sigma Psi
121,Beta Theta Pi
122,Beyer House (Welch)
123,Bhangra Dance Club
124,Billiards Club
125,BioBus
126,"Biochemistry, Biophysics and Molecular Biology Undergraduate Club"
127,Bioinformatics and Computational Biology Graduate Student Organization
128,Biological Sciences Club
129,Biological Systems Engineering Club
130,Biological/ Pre-Medical Illustration Club
131,Biomedical Engineering Society
132,Birch-Welch-Roberts Hall Council
133,Birding Club
134,Black Graduate Student Association
135,Black Student Alliance
136,Block & Bridle
137,Blood Drive
138,Boomwhacker Club
139,Bowling Club
140,Boxing Club
141,Brain Club
142,Brass Excerpt Club
143,Brazilian Student Organization
144,BRICS (Building Relationships in Christ Soteria)
145,Bridges International
146,Brown House (Helser)
147,Buchanan Hall Association
148,Buddhism for Peace
149,Busse House (Freeman)
150,C-Nettes Dance Line
151,Caine House (Larch)
152,Campus Amateur Radio Club
153,Campus Christian Fellowship
154,Campus Service Council
155,Canoe & Kayak Club
156,Cantamus
157,Cardinal & Gold
158,Cardinal Eats
159,Cardinal Key Honor Society
160,Cardinal Pokémon League
161,Cardinal Space Mining Club
162,Cardinal Swing Society
163,Cardinal Tap Club
164,Carpenter House (Helser)
165,Cassell House (Welch)
166,Catholic Student Community
167,Cavazos House (Geoffroy)
168,Cessna House (Larch)
169,Chabad on Campus
170,Chemical Engineering Graduate Student Organization
171,Chi Alpha Christian Fellowship
172,Chi Epsilon
173,Chi Omega
174,Chi Phi
175,Chinese Language Club
176,Chinese Students and Scholars Association
177,Christian Faculty and Staff Association
178,Classics Club/ Eta Sigma Phi
179,Climate Reality Campus Corps
180,College Democrats
181,College of Agriculture and Life Sciences Student Council
182,College of Design Art Club
183,College of Veterinary Medicine Association of Graduate Students
184,College of Veterinary Medicine Class of 2020
185,College of Veterinary Medicine Class of 2021
186,College of Veterinary Medicine Class of 2022
187,College of Veterinary Medicine Class of 2023
188,College of Veterinary Medicine Class of 2024
189,College of Veterinary Medicine Surgery Club
190,College Republicans
191,Collegiate 4-H
192,Collegiate Cattlemen
193,Collegiate Chapter of Pheasants Forever
194,Collegiate Panhellenic Council
195,Collegiate Women in Business
196,Communication Disorders Club
197,Communication Studies Club
198,Community & Regional Planning Club
199,Community and Regional Planning Graduate Student Club
200,Community Engagement Club
201,Computer Science and Software Engineering Club
202,Computer Science Graduate Student Organization
203,Conservation Club
204,Consulting Club
205,Coov-Lace House (Martin)
206,Corpus Linguistics Student Organization (COLISTO)
207,Cosplay Club
208,Council on the Built Environment
209,Cranor House (Maple)
210,Cricket Club
211,Criminal Justice Club
212,Critical Tinkers
213,Cru
214,Culinary Science Club
215,Cunningham House (Larch)
216,CVM Animal Welfare Club
217,CVM Spectrum
218,Cycling Club
219,Dairy Products Evaluation Club
220,Dairy Science Club
221,Dana House (Birch)
222,Dance Marathon
223,Data Science Club
224,"Datum, Student Journal of Architecture"
225,Davidson House (Eaton)
226,Day House (Geoffroy)
227,Delight Ministries
228,Deloria House (Geoffroy)
229,Delta Chi
230,Delta Delta Delta
231,Delta Gamma
232,Delta Lambda Phi
233,"Delta Phi Lambda Sorority, Inc."
234,Delta Sigma Phi
235,Delta Sigma Pi
236,"Delta Sigma Theta Sorority, Inc. Phi Chapter"
237,Delta Tau Delta
238,Delta Upsilon
239,Delta Zeta
240,Descarga Latin Dance
241,Design-Build Institute of America
242,Digital Audio Production
243,Digital Women
244,Disc Golf Club
245,Diving Club
246,DIY Craft Club
247,Dizang-Qi Buddhism Club
248,Doolittle House (Buchanan)
249,DubH
250,Ducks Unlimited
251,Durian House (Oak)
252,Earthquake Engineering Research Institute
253,Eaton Hall Council
254,Economics Club
255,Economics Graduate Student Association
256,EEOB Graduate Student Organization
257,Egyptian Students Association
258,Election Commission
259,Elwood House (Helser)
260,Emerging Fraternal Leadership Council
261,Emerging Leaders in Engineering
262,Emerson House (Larch)
263,Engineering Student Council
264,Engineers for a Sustainable World
265,Engineers Without Borders
266,Engineers' Week
267,English Club
268,Entomology Graduate Student Organization
269,Entrepreneur Club
270,Entrepreneurial Product Development Club
271,Environmental Education Club
272,Environmental Science Club
273,Environmental Science Graduate Organization
274,Epsilon Pi Tau
275,Equestrian Club - Hunt Team
276,Equestrian Club - Western Team
277,Equipping Math Teachers
278,Escape Room Club
279,Ethical Eating Club
280,Event Management Club
281,Eventing Club
282,Exercise is Medicine On Campus
283,Fairchild House  (Roberts)
284,Family & Consumer Sciences Education and Studies Club
285,Fantasy Sports Club
286,Farm Operations Club
287,FarmHouse Fraternity
288,Fellowship of Athletic Training Club
289,Fencing Club
290,Filipino Students Association
291,Film Producers Club
292,Finance Club
293,Financial Planning Association Ames Student Chapter
294,Firkins House (Helser)
295,First-Year Council
296,Fisheries and Wildlife Biology Club
297,Fishing Club
298,Fleming House (Helser)
299,Fluid Power Club
300,Foal Intensive Care Unit
301,Food Recovery Network
302,Food Science Club
303,Forestry Club
304,Franklin House  (Roberts)
305,Fraternal Values Society
306,Frederiksen Court Community Council
307,Freeskate Club
308,French Club
309,Freshmen Leaders in Engineering
310,Friant House (Maple)
311,Friends of MSF
312,Friley Senate
313,Fulbright Students and Scholars
314,Fuller House (Buchanan)
315,Future Business Leaders of America-Phi Beta Lambda
316,Future Teachers Education Association
317,Game Development Club
318,Gaming and Esports Club
319,Gamma Phi Beta
320,Gamma Rho Lambda - Omicron Chapter
321,Gamma Sigma Alpha
322,Gamma Sigma Delta
323,Geddes House (Geoffroy)
324,Genetics Club
325,GENRE
326,Geoffroy Hall Parliament
327,"GeoInstitute Student Chapter of ASCE of Ames, Iowa"
328,Geology Club
329,Geology Graduate Student Organization
330,German Club
331,Gilman House (Martin)
332,Global Health & AIDS Coalition
333,Godfrey House (Friley)
334,Golf Club
335,Good Earth Student Farm
336,Graduate and Professional Student Senate
337,Graduate Association for Students of Political Science
338,Graduate Genetics and Genomics Group
339,Graduate Meteorology Club
340,Graduate Organization in Agricultural Education
341,Graduate Organization of Electrical and Computer Engineering
342,Graduate Research in Evolutionary Biology and Ecology
343,Graduate Society of Women Engineers
344,Graduate Student Association of Hospitality Management
345,Graduate Student Horticulture Society
346,Graduate Student Organization of Plant Biologists
347,Graduate Students in Architecture
348,Graduate Students in History
349,Graduate Students in Social Psychology
350,Graduate Students in Sociology
351,Graduate Students of Counseling Psychology
352,Graduate Students of Psychology
353,Grandma Mojo's Moonshine Revival
354,Graphic Design Social Club
355,Graphic Design Student Association (GDSA)
356,Greek Week
357,Greeks Go Green
358,Greene House (Larch)
359,Greenlee School TV
360,Groove Drumline Club
361,Guild of Boardgamers & Roleplayers
362,Haber House (Helser)
363,Habitat for Humanity Student Chapter
364,Hackathon Club
365,Hanson House (Larch)
366,Harriman House (Roberts)
367,Harwood House (Lyon)
368,HDFS Graduate Student Network
369,Henderson House (Friley)
370,Hindu Yuva
371,History Club
372,Hixson Student Board
373,Hockey Cheerleading
374,Hockey Club (Women)
375,Hockey Pep Band
376,Hockey Team Boosters
377,Honors Student Board
378,Horticulture Club
379,Hoyt (Geoffroy)
380,Hughes House (Eaton)
381,Human Computer Interaction Student Group
382,Human Sciences Council
383,IAAS - International Association of Students in Agriculture and Related Sciences
384,id1
385,IEEE-Eta Kappa Nu
386,Immunobiology Graduate Student Organization
387,IMPACT (Innovators Making Positive Advances in Creative Technologies)
388,Improv Comedy Club
389,Indian Students' Association
390,Indonesian Student Association
391,Industrial Designers Society of America- Student Chapter
392,Industrial Technology Club
393,Information Assurance Student Group
394,INFORMS
395,Institute of Electrical and Electronics Engineers
396,Institute of Industrial & Systems Engineers (IISE)
397,Integrative Medicine Club - American Holistic Veterinary Medical Association - Student Chapter
398,Inter-Residence Hall Association
399,Interdepartmental Graduate Group
400,Interdisciplinary Graduate Student Club
401,Interfraternity Council
402,Interior Design Student Association
403,International Family
404,International Friendship Connection
405,International Student Ambassadors Club
406,International Student Council
407,Investment Group
408,Iowa Corn Growers Collegiate Club
409,Iowa Stat-ers
410,Iowa Students of Landscape Architecture
411,Iowa Women in Architecture Students
412,Iowa Women in Natural Resources Collegiate Chapter
413,Iranian Students' and Scholars' Association
414,ISD Media Group
415,Ivy Student Council
416,Japanese Association
417,John Paul Jones Society
418,Jones House (Eaton)
419,Juggling and Unicycling Club
420,Kairos Students
421,"Kappa Alpha Psi Fraternity, Inc."
422,Kappa Alpha Theta
423,Kappa Delta
424,Kappa Kappa Gamma
425,Kappa Kappa Psi- Iota Omega
426,Kappa Kappa Psi/Tau Beta Sigma Joint
427,"Kappa Omicron Nu, Omicron Gamma Chapter"
428,Kappa Sigma
429,Kappa Tau Alpha
430,Kehlenbeck House (Larch)
431,Kendo Club
432,Kilbourne-Rambo House (Wallace)
433,Kimball House (Friley)
434,Kinesiology & Health Club
435,Kinesiology Graduate Student Association
436,Knitting Club
437,Kooser House (Geoffroy)
438,Korean Language Club
439,Korean Student Association
440,KURE 88.5 FM Ames Alternative
441,Kuwaiti Students Association
442,Lacrosse Club (Men)
443,Lacrosse Club (Women)
444,Ladies in Fitness Training
445,Lambda Chi Alpha
446,"Lambda Theta Alpha Latin Sorority, Incorporated"
447,"Lambda Theta Nu Sorority, Incorporated"
448,"Lambda Theta Phi Latin Fraternity, Inc."
449,Lancaster House (Willow)
450,Lancelot House (Wallace)
451,Landscape Club
452,Lange House  (Birch)
453,Language Assessment Student Organization
454,Larch Hall Council
455,Latinx Student initiatives
456,Lawther House (Eaton)
457,Leaders in Education and Diversity
458,Leadership and Service Center
459,Liberal Arts & Sciences Council
460,Lighthouse Campus Fellowship
461,Lincoln House (Friley)
462,Lindstrom House (Birch)
463,Line Dancing Club
464,Linguistics Club
465,Livingston House (Helser)
466,Lommen House (Willow)
467,Louden House (Helser)
468,Lutheran Campus Ministry
469,Lyrica
470,MacDonald House (Helser)
471,MacRae House (Buchanan)
472,Mana Telugu Association
473,Management Information Systems (MIS) Club
474,Maney House (Buchanan)
475,"MANRRS: Minorities In Ag, Natural Resources & Related Sciences"
476,Marketing Club
477,Martial Arts Club
478,Martin Hall Council
479,Marxist Student Association
480,Massie House (Geoffroy)
481,Master of Business Administration & Specialized Masters Association
482,Material Advantage
483,Math club
484,Mathematics Graduate Student Organization
485,McCowen House (Wallace)
486,Meat Science Club
487,Mechanical Contractors Association
488,Mechanical Engineering Graduate Student Organization
489,Meeker House (Friley)
490,Microbiology Club
491,Microbiology Graduate Student Organization
492,Miller House (Elm)
493,Minority Association for Pre-Health Students
494,MMA Club
495,Molecular Cellular and Developmental Biology GSO
496,Mortensen House (Helser)
497,Motion Sickness Dance Team
498,Motorcycle Club
499,Mountaineering and Climbing Club
500,Multicultural Business Network
501,Multicultural Greek Council
502,Murphy House (Friley)
503,Murray House (Buchanan)
504,Music Student Representative Council
505,Muslim Student Association
506,NAACP
507,National Agri-Marketing Association
508,National Alliance on Mental Illness On Campus
509,National Electrical Contractors Association
510,National Organization for the Reform of Marijuana Laws
511,National Organization of Minority Architecture Students
512,National Pan-Hellenic Council
513,National Retail Federation Student Association
514,National Society of Black Engineers
515,National Society of Collegiate Scholars
516,National Society of Minorities in Hospitality
517,Natural Resource Ecology and Management Graduate Student Organization
518,Nelson House (Eaton)
519,Nepalese Students' Association
520,Network Against Human Trafficking
521,Network of enlightened Women
522,Neuroscience Graduate Student Organization
523,New Student Programs Student Organization
524,Nielsen House (Wallace)
525,Niles-Foster House (Friley)
526,No Re-Choir-Ment A Cappella
527,Noble House (Friley)
528,Nordic Ski Club
529,NROTC Drill Team
530,Nuckolls House (Wallace)
531,O'Bryan House (Friley)
532,Oak Elm Hall Council
533,Omega Tau Sigma
534,Ophthalmology Club
535,Orchesis I Dance Company
536,Orchesis II Dance Club
537,Order of Omega
538,Orthodox Christian Fellowship
539,OSA Student Chapter
540,oSTEM
541,Otopalik House (Buchanan)
542,Oxfam America Club
543,Pakistan Student Association
544,Palmer House (Friley)
545,Pan-Caribbean Community
546,Paranormal Research Club
547,PAS Student Chapter
548,Pay It Forward
549,Pennell House (Friley)
550,Peterson Squadron
551,"Phi Alpha Theta, Kappa Iota Chapter"
552,Phi Beta Kappa
553,Phi Delta Theta
554,Phi Gamma Delta
555,Phi Kappa Phi
556,Phi Kappa Psi
557,Phi Kappa Theta
558,Phi Mu Alpha Sinfonia
559,Phi Sigma Pi National Honor Fraternity
560,Phi Tau Sigma
561,Phi Upsilon Omicron
562,Philosophy Club
563,Phorum
564,Photo Club
565,Physical Education Club
566,Physics and Astronomy Club
567,Physics Graduate Student Organization
568,"Pi Alpha Phi Fraternity, Inc."
569,Pi Beta Phi
570,Pi Kappa Phi
571,Pi Tau Sigma
572,Pickleball Club
573,Plant Breeding and Genetics Student Organization
574,Plant Pathology Grad Student Org
575,Platt House (Willow)
576,Polyglot Club
577,Power Pullers club
578,Pre-Dental Club
579,Pre-Law Club
580,Pre-Medical Club
581,Pre-Occupational Therapy Club
582,Pre-Pharmacy Club
583,Pre-Physical Therapy Club
584,Pre-Physician Assistant Club
585,Pre-Veterinary Club
586,Predictive Plant Phenomics Graduate Student Organization
587,Pride Goes Greek
588,Professional Convention Management Association Student Chapter
589,Psi Chi
590,Psychology Club
591,Public Relations Student Society of America
592,Puerto Rican Student Association
593,Queer* Graduate Student Association
594,Quidditch Club
595,Quiz Bowl Club
596,Racquetball Club
597,Railroad Club
598,Rapid Manufacturing
599,Rare Disease Awareness Club
600,Rawson House (Buchanan)
601,Recreation and Stress Relief Committee
602,Recreation Services - Intramural Executive Council
603,Relay For Life
604,Rho Lambda
605,Richey House (Helser)
606,Rifle and Pistol Club
607,Robinson (Geoffroy)
608,Robotics Club
609,Rocket Shop
610,Rodeo Club
611,Roderuck House (Geoffroy)
612,"RootLess - Recovery On Our Time, Learning Every Students Story"
613,Rowe House (Helser)
614,Rube Goldberg Club
615,Rugby Club (Men)
616,Rugby Club (Women)
617,Running Club
618,Russian Club
619,Russian-Speaking Students Association
620,SAC Test Organization
621,Sadler House (Helser)
622,SAE International Student Chapter
623,Sailing Club
624,Sales Club
625,Sales Engineering Club
626,Sankalp
627,Saudi Students Association
628,SAVMA Bookstore
629,Schaefer House (Willow)
630,Schmidt House (Buchanan)
631,Science Explorations
632,SCUBA Diving & Snorkeling Club
633,Semper Fidelis Society
634,Sextant Society
635,SIAM Student Chapter
636,Sigma Alpha
637,Sigma Alpha Epsilon
638,Sigma Alpha Iota
639,"Sigma Gamma Rho Sorority, Incorporated"
640,Sigma Kappa
641,Sigma Lambda Beta International Fraternity Inc.
642,"Sigma Lambda Gamma National Sorority, Inc."
643,Sigma Phi Epsilon
644,Sigma Pi
645,Sigma Tau Gamma
646,Silver Wings
647,Singers
648,Sketch
649,Ski and Snowboard Club
650,Skydivers
651,Soccer Club (Men)
652,Soccer Club (Women)
653,Socialize With Pride
654,Society for Advancement of Chicanos/Hispanics and Native Americans in Science-Student Chapter
655,Society for Applied Spectroscopy Student Chapter
656,Society for Human Resource Management Student Chapter
657,Society for the Advancement of Gender Equity
658,Society for Theriogenology
659,Society of Chemistry Undergraduate Majors (SCUM)
660,Society of Ethical Engineering
661,Society of Hispanic Professional Engineers & Latinos in Science and Engineering
662,Society of International Engineers
663,Society of Manufacturing Engineers
664,Society of Women Engineers
665,Society of Women in Physics and Astronomy
666,Softball Club (Women)
667,Soil And Water Conservation Club
668,Solar Car
669,Solar Decathlon
670,SolidWorks and CAD Club
671,Sorority and Fraternity Alternative Spring Break
672,Sorority and Fraternity Community Ambassadors
673,Spanish Club
674,Special Olympics College Club
675,Spikeball Club
676,Spinney House (Friley)
677,Sport Club Council
678,Sports Analytics Club
679,Sports Business Club
680,Sri Lankan Student  Association
681,Stange House (Friley)
682,Starbuck House (Martin)
683,STAT Club
684,STATCOM
685,Stevenson House (Birch)
686,Stonewall House (Freeman)
687,Student Admissions Representatives
688,Student Affairs Graduate Association
689,Student Alumni Leadership Council
690,Student American Veterinary Medical Association Chapter
691,Student and Family Outreach Team
692,Student Carillonneur Leadership Council
693,Student Chapter of the American Association of Veterinary Parasitologists
694,Student Chapter of the American College of Veterinary Internal Medicine
695,Student Chapter of the American College of Veterinary Pathologists
696,Student Chapter of the Foundation for Veterinary Dentistry
697,Student Chapter of the Veterinary Emergency Critical Care Society
698,Student Dietetic Association
699,Student Government
700,Student Organization for FIRST
701,Student Poets Inciting Truth
702,Student Subunit of the Iowa Chapter of the American Fisheries Society
703,Student Union Board
704,Student Veterans of America
705,Student-Athlete Advisory Committee (SAAC)
706,Students Demand Action
707,Students for 2A
708,Students for Campus Fellowship
709,Students for Life
710,Students for Open Discussion
711,Students for Salt
712,Students for St. Jude
713,Students Helping Our Peers
714,Students Helping Rescue Animals
715,StuOrg Launch Test
716,Stupka Symposium
717,Sudan United Association
718,Suicide Awareness Organization
719,Supply Chain Management Club
720,Sustainable Agriculture Student Association
721,Swim Club
722,Swine Production Advocates
723,Synapse
724,Table Tennis Club
725,Taiwanese Student Association
726,Tango Social Club
727,Tappan House (Barton)
728,Tau Beta Pi
729,Tau Beta Sigma
730,Tau Kappa Epsilon
731,Tennis Club
732,Test Too
733,Texas Hold'Em Club
734,The Adoption Club
735,The American Society of Laboratory Animal Practitioners Club
736,The Conference
737,The Dungeon Masters Club
738,The Engineering Ambassador  & Mentor  Program
739,The Ethics of Technology Club
740,The Fashion Show
741,The Forum Dance Studio
742,The Gaffers' Guild
743,The Green Umbrella
744,The Justin Morrill Society
745,The Last Mile Project
746,The National Organization For The Professional Advancement of Black Chemists and Chemical Engineers
747,The National Society of Leadership and Success - Sigma Alpha Pi
748,The Navigators
749,The Pride Alliance
750,The Vine at Collegiate Presbyterian Church
751,Theatre
752,Theme Park Entertainment Group
753,Theta Chi
754,Theta Delta Chi
755,Theta Xi Fraternity
756,Thomistic Institute
757,Tilden House (Eaton)
758,Tir Asleen Medieval Combat Society
759,Tompkins House (Willow)
760,Town and College Toastmasters
761,Toxicology Graduate Student Organization
762,Transportation Student Association
763,Trap and Skeet Club
764,Travelauth Test Org
765,Trend Magazine
766,Tri Iota Women and Gender Studies Honor Society
767,Triangle Fraternity
768,Triathlon Club
769,Tumbling Club
770,Turf Club
771,Turning Point USA
772,Uganda Alliance
773,Ultimate Frisbee Club (Men)
774,Ultimate Frisbee Club (Women)
775,United Houses of Helser
776,United Nations International Children's Emergency Fund
777,United Native American Student Association (UNASA)
778,University Print Society
779,User Experience Design Club
780,Vance House (Buchanan)
781,Veterinarians as One Inclusive Community for Empowerment (VOICE)
782,Veterinarians Without Borders
783,Veterinary Business Management Association
784,Veterinary Public Health Club
785,Vietnamese International Students Association (VISA)
786,Vietnamese Student Association (VSA)
787,Volleyball Club (Men)
788,Volleyball Club (Women)
789,Vollmer House (Freeman)
790,Wall Street Club
791,Wallace/Wilson Hall Council
792,Warren Democrats
793,Water Environment Federation Student Chapter
794,Water Polo Club
795,Water Ski Club
796,Wearables Design Team
797,Web Development Club
798,Weight Club
799,Wesley Foundation (United Methodist Student Center)
800,Wild Animals Club: WAC
801,Winter Guard
802,Wolf House (Larch)
803,Women in Mechanical Engineering
804,Women Who Design
805,Women's Veterinary Leadership Development Initiative (Student Chapter)
806,Womxn of Colour Network
807,Womxn* in Pre-Law
808,Woodrow House (Eaton)
809,Wrestling Club
810,Writers' Guild
811,Xi Sigma Pi
812,Young Americans for Freedom
813,Young House (Maple)
814,Youth Sports Outreach
815,YWCA
816,"Zeta Phi Beta Sorority, Inc."
817,"Zoo, Exotics, and Wildlife Club"
